30 120 8 3 0     2.652
30 120 8 4 0     3.099
30 120 8 5 0     3.024
30 120 8 6 0     2.911
30 120 8 7 0     2.998
30 120 8 8 0     2.734
30 120 8 9 0     2.336
30 120 810 0     1.996
30 120 811 0     1.749
30 120 812 0     1.299
30 120 813 0     1.250
30 120 814 0     1.527
30 120 815 0     1.622
30 120 816 0     1.966
30 120 817 0     2.210
30 120 818 0     2.451
30 120 819 0     2.538
30 120 820 0     1.905
30 120 821 0     2.280
30 120 822 0     1.729
30 120 823 0     1.722
30 120 824 0     1.892
31 120 8 1 0     1.654
31 120 8 2 0     2.442
31 120 8 3 0     2.323
31 120 8 4 0     2.983
31 120 8 5 0     2.653
31 120 8 6 0     2.939
31 120 8 7 0     3.184
31 120 8 8 0     2.957
31 120 8 9 0     2.502
31 120 810 0     2.075
31 120 811 0     2.088
31 120 812 0     1.752
31 120 813 0     1.139
31 120 814 0     1.066
31 120 815 0     1.341
31 120 816 0     1.785
31 120 817 0     1.473
31 120 818 0     1.552
31 120 819 0     2.348
31 120 820 0     2.233
31 120 821 0     2.452
31 120 822 0     1.983
31 120 823 0     1.797
31 120 824 0     2.269
 1 220 8 1 0     2.259
 1 220 8 2 0     1.950
 1 220 8 3 0     2.418
 1 220 8 4 0     2.412
 1 220 8 5 0     2.730
 1 220 8 6 0     3.122
 1 220 8 7 0     2.785
 1 220 8 8 0     2.923
 1 220 8 9 0     2.586
 1 220 810 0     2.827
 1 220 811 0     1.878
 1 220 812 0     1.513
 1 220 813 0     1.281
 1 220 814 0     1.024
 1 220 815 0     1.011
 1 220 816 0     1.433
 1 220 817 0     1.654
 1 220 818 0     1.385
 1 220 819 0     1.887
 1 220 820 0     2.092
 1 220 821 0     2.005
 1 220 822 0     2.406
 1 220 823 0     2.309
 1 220 824 0     2.453
 2 220 8 1 0     2.308
 2 220 8 2 0     2.317
 2 220 8 3 0     2.253
 2 220 8 4 0     2.419
 2 220 8 5 0     2.554
 2 220 8 6 0     2.839
 2 220 8 7 0     2.959
 2 220 8 8 0     3.166
 2 220 8 9 0     3.030
 2 220 810 0     2.973
 2 220 811 0     2.244
 2 220 812 0     2.394
 2 220 813 0     1.713
 2 220 814 0     1.662
 2 220 815 0     1.146
 2 220 816 0     1.283
 2 220 817 0     1.166
 2 220 818 0     1.509
 2 220 819 0     1.777
 2 220 820 0     2.027
 2 220 821 0     2.169
 2 220 822 0     2.316
 2 220 823 0     2.530
 2 220 824 0     2.545
 3 220 8 1 0     2.466
 3 220 8 2 0     2.359
 3 220 8 3 0     2.174
 3 220 8 4 0     2.397
 3 220 8 5 0     2.022
 3 220 8 6 0     2.172
 3 220 8 7 0     2.706
 3 220 8 8 0     3.177
 3 220 8 9 0     3.208
 3 220 810 0     3.247
 3 220 811 0     2.593
 3 220 812 0     2.265
 3 220 813 0     1.830
 3 220 814 0     1.892
 3 220 815 0     1.287
 3 220 816 0     0.844
 3 220 817 0     0.641
 3 220 818 0     1.236
 3 220 819 0     0.983
 3 220 820 0     1.496
 3 220 821 0     1.923
 3 220 822 0     2.235
 3 220 823 0     2.679
 3 220 824 0     2.895
 4 220 8 1 0     2.585
 4 220 8 2 0     2.386
 4 220 8 3 0     2.498
 4 220 8 4 0     1.941
 4 220 8 5 0     1.991
 4 220 8 6 0     2.338
 4 220 8 7 0     2.318
 4 220 8 8 0     2.588
 4 220 8 9 0     3.081
 4 220 810 0     3.354
 4 220 811 0     3.499
 4 220 812 0     2.963
 4 220 813 0     2.632
 4 220 814 0     1.588
 4 220 815 0     1.567
 4 220 816 0     0.895
 4 220 817 0     0.678
 4 220 818 0     1.015
 4 220 819 0     1.238
 4 220 820 0     1.511
 4 220 821 0     2.084
 4 220 822 0     2.492
 4 220 823 0     2.682
 4 220 824 0     2.721
 5 220 8 1 0     2.563
 5 220 8 2 0     2.727
 5 220 8 3 0     2.099
 5 220 8 4 0     1.801
 5 220 8 5 0     1.511
 5 220 8 6 0     2.099
 5 220 8 7 0     2.040
 5 220 8 8 0     2.717
 5 220 8 9 0     2.560
 5 220 810 0     3.411
 5 220 811 0     3.491
 5 220 812 0     3.051
 5 220 813 0     2.557
 5 220 814 0     2.546
 5 220 815 0     1.912
 5 220 816 0     0.816
 5 220 817 0     0.892
 5 220 818 0     0.507
 5 220 819 0     0.962
 5 220 820 0     1.215
 5 220 821 0     1.536
 5 220 822 0     2.251
 5 220 823 0     2.880
 5 220 824 0     3.005
 6 220 8 1 0     2.658
 6 220 8 2 0     2.735
 6 220 8 3 0     2.591
 6 220 8 4 0     1.838
 6 220 8 5 0     1.647
 6 220 8 6 0     1.818
 6 220 8 7 0     1.676
 6 220 8 8 0     2.056
 6 220 8 9 0     2.509
 6 220 810 0     3.247
 6 220 811 0     3.027
 6 220 812 0     3.489
 6 220 813 0     2.935
 6 220 814 0     2.463
 6 220 815 0     2.413
 6 220 816 0     1.108
 6 220 817 0     1.102
 6 220 818 0     0.307
 6 220 819 0     0.766
 6 220 820 0     0.816
 6 220 821 0     1.075
 6 220 822 0     2.134
 6 220 823 0     2.300
 6 220 824 0     2.869
 7 220 8 1 0     3.031
 7 220 8 2 0     3.045
 7 220 8 3 0     2.695
 7 220 8 4 0     2.449
 7 220 8 5 0     1.857
 7 220 8 6 0     1.301
 7 220 8 7 0     1.333
 7 220 8 8 0     1.584
 7 220 8 9 0     2.359
 7 220 810 0     2.368
 7 220 811 0     3.431
 7 220 812 0     3.843
 7 220 813 0     3.751
